statsYm,admmCd,ctpvNm,sggNm,dongNm,tong,ban,totNmprCnt,maleNmprCnt,femlNmprCnt,male0AgeNmprCnt,male10AgeNmprCnt,male20AgeNmprCnt,male30AgeNmprCnt,male40AgeNmprCnt,male50AgeNmprCnt,male60AgeNmprCnt,male70AgeNmprCnt,male80AgeNmprCnt,male90AgeNmprCnt,male100AgeNmprCnt,feml0AgeNmprCnt,feml10AgeNmprCnt,feml20AgeNmprCnt,feml30AgeNmprCnt,feml40AgeNmprCnt,feml50AgeNmprCnt,feml60AgeNmprCnt,feml70AgeNmprCnt,feml80AgeNmprCnt,feml90AgeNmprCnt,feml100AgeNmprCnt
202604,4812131000,경상남도,창원시 의창구,북면,10,4,1206,598,608,70,106,25,60,157,89,57,33,1,0,0,49,121,29,70,159,70,80,24,5,1,0
202604,4812131000,경상남도,창원시 의창구,북면,10,5,1157,576,581,79,116,32,60,156,72,44,15,2,0,0,65,124,24,71,163,74,38,16,4,2,0
202604,4812131000,경상남도,창원시 의창구,북면,10,6,1248,623,625,74,113,43,49,168,89,66,17,4,0,0,61,123,33,58,166,90,64,22,7,1,0
202604,4812131000,경상남도,창원시 의창구,북면,10,7,1081,529,552,46,57,48,80,110,86,79,21,2,0,0,59,63,36,70,123,96,80,21,3,1,0
202604,4812131000,경상남도,창원시 의창구,북면,10,8,1522,773,749,92,147,36,105,229,82,59,21,2,0,0,99,125,35,109,206,93,58,20,2,2,0
202604,4812131000,경상남도,창원시 의창구,북면,10,9,1174,606,568,85,91,36,98,146,80,58,10,2,0,0,70,81,31,93,149,82,49,11,2,0,0
202604,4812131000,경상남도,창원시 의창구,북면,10,10,653,328,325,41,36,27,45,68,49,48,11,3,0,0,36,34,26,59,66,54,33,14,3,0,0
202604,4812131000,경상남도,창원시 의창구,북면,10,11,824,428,396,67,35,36,138,82,38,27,4,0,1,0,59,28,38,111,66,65,24,5,0,0,0
202604,4812131000,경상남도,창원시 의창구,북면,11,1,123,71,52,2,0,2,5,2,17,23,17,3,0,0,2,3,1,2,3,5,15,9,9,3,0
202604,4812131000,경상남도,창원시 의창구,북면,11,2,94,49,45,1,2,4,0,5,8,14,8,6,1,0,4,0,1,4,1,4,10,9,10,2,0
202604,4812131000,경상남도,창원시 의창구,북면,11,3,222,121,101,1,9,5,7,12,29,23,24,11,0,0,2,3,6,2,9,14,20,28,17,0,0
202604,4812131000,경상남도,창원시 의창구,북면,12,1,111,53,58,0,2,3,0,2,11,18,12,5,0,0,0,2,1,2,4,8,20,13,6,2,0
202604,4812131000,경상남도,창원시 의창구,북면,12,2,215,85,130,0,0,3,0,1,10,27,29,12,3,0,0,2,2,0,2,6,24,26,43,25,0
202604,4812131000,경상남도,창원시 의창구,북면,12,3,82,45,37,0,1,2,6,0,9,14,11,2,0,0,0,0,0,1,1,9,7,6,11,2,0
202604,4812131000,경상남도,창원시 의창구,북면,13,1,92,45,47,0,0,0,5,0,7,22,9,2,0,0,1,0,2,2,3,9,15,8,5,2,0
202604,4812131000,경상남도,창원시 의창구,북면,13,2,99,52,47,0,1,0,2,3,9,18,15,4,0,0,0,0,3,1,4,10,15,11,3,0,0
202604,4812131000,경상남도,창원시 의창구,북면,14,1,121,68,53,0,1,3,2,2,11,24,15,8,2,0,0,0,4,0,0,10,22,13,4,0,0
